names,number,annotation,adduct,mz,mzmin,mzmax,rt,Rtminutes,rtmin,rtmax,npeaks,mzXML,t01,t02,t03,t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t53,t61,t62,t63,t71,t72,t73,t81,t82,t83,t91,t92,t93,t101,t102,t103,t111,isotopes,pcgroup,pc_nocorr,CouA,MSnEluc,formula
M585.227T757.1,113,G(8-5)Ghexoside_AA_13C6,[M-H]-,585.2268212,585.2268212,585.2273151,757.1017334,12.61836222,747.5078282,771.3116931,24,24,0,512.785914,0,0,0,9287.788942,0,0,4388.44067,0,37278.49629,6146.80012,15019.48025,44333.20264,43302.11159,10874.97122,16900.16338,42156.7118,58909.95285,5023.221722,384528.3326,170321.0172,613292.2644,305034.0047,324080.3995,165456.4872,163759.1294,123515.0433,275261.493,384641.7895,673769.0668,154694.1696,239701.112,,1223,31,2,NA,C28H35O13
M580.211T757.61,32,G(8-5)Ghexoside_acetate_adduct_(m/z_579)_13C1,[M+1-H]-,580.2111905,580.2106501,580.2111905,757.6061039,12.6267684,747.5078282,771.3116931,33,33,272206.773,204627.3837,392538.9641,214241.8789,180986.0062,582763.4378,145877.8711,176521.5751,258009.7702,70826.23541,288515.881,239269.7711,337585.8625,207929.6821,287719.0184,104342.0297,240082.9438,446654.531,172163.9736,112504.5119,361327.3769,106009.8591,457415.3633,214926.6426,374403.1454,119744.1477,190644.4221,343356.2237,235405.5718,233945.093,412337.4523,76266.53581,466529.4044,[18][M]+,31,31,0,NA,C28H35O13
M583.221T758.09,32,G(8-5)Ghexoside_acetate_adduct_(m/z_579)_13C4,[M+1-H]-,583.2209152,583.2188544,583.2264332,758.0911681,12.6348528,747.5078282,771.3116931,17,17,0,0,1628.403067,0,0,522.4189969,0,0,688.8321783,0,0,1062.906384,4907.091785,3842.963768,4276.133349,0,0,16841.92891,0,0,92991.99256,38845.17601,111150.9385,27463.94117,49433.78815,15938.29753,33543.72779,40853.22458,45554.88333,77399.07348,128611.9538,30106.9551,63211.79462,[18][M+1]+,31,31,1,NA,C28H35O13
M586.231T757.85,32,G(8-5)Ghexoside_acetate_adduct_(m/z_579)_13C7,[M+1-H]-,586.230793,586.230793,586.230793,757.848636,12.6308106,747.5078282,771.3116931,18,18,0,0,0,0,0,0,0,0,734.6424309,0,0,0,3700.389941,11492.09103,9618.606185,0,0,6295.08297,16012.51321,0,88569.82856,39414.7141,144899.9137,70777.3748,81326.2266,38589.50608,41869.70189,32038.42115,68609.07882,86576.03106,164755.3185,33641.02106,61660.70756,,1224,31,2,NA,C28H35O13
M743.274T628.48,69,lariciresinol_diglucoside_AA,[M+Ac-H]-,743.2743964,743.201711,743.3583686,628.4773643,10.47462274,493.2459,705.4736,NA,NA,250396.768,387452.8285,914025.2477,483688.9992,323066.2716,92664.56857,505995.1353,299153.7947,0,0,593947.476,443474.0479,0,474135.4939,185453.3001,312646.6539,444328.5409,0,232938.4265,240702.3883,571972.5932,591773.8278,317862.3126,362850.9097,345609.9021,0,271857.6134,687149.9083,512359.0758,305444.5812,256974.5767,78127.58847,630090.4672,,NA,NA,0,NA,
M746.289T626.91,69,lariciresinol_diglucoside_AA_13C3,[M+Ac-H]-,746.2887563,746.2261401,746.3521089,626.9071533,10.44845256,548.2774,676.0628,NA,NA,5200.218103,0,0,0,0,27570.66402,28956.49474,4421.232688,0,0,25869.75306,0,0,0,0,0,0,23595.42164,20747.47706,23701.57218,9052.740748,0,0,0,30065.34908,27307.13,0,14838.42394,74069.70781,0,47518.3758,0,NA,,NA,NA,1,NA,
M749.295T600.21,69,lariciresinol_diglucoside_AA_13C6,[M+Ac-H]-,749.2947139,749.2930163,749.296077,600.2147385,10.00357897,493.2459,669.1127,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11897.97116,0,9391.646619,0,9717.079703,19454.37134,3651.693006,6609.62008,16085.19525,21685.56815,23967.12469,46542.97785,12004.94491,4019.650675,26403.33783,,NA,NA,2,NA,
M743.275T537.5,70,lariciresinol_diglucoside_AA_isomer,[M+Ac-H]-,743.2749189,743.274822,743.2749189,537.5013716,8.958356193,527.3663275,579.3632159,34,33,625100.2348,56379.70273,360080.4258,539709.244,689696.5275,1411590.405,295891.1777,602130.4583,526311.2284,889195.1961,65430.67306,1864395.082,1825319.866,491916.149,644199.6525,471757.0139,215514.7882,2804676.721,200668.3509,51789.03925,85272.94462,290562.531,157227.2598,445564.9828,299076.2406,73156.72426,548731.7188,168099.6317,746521.5057,1403606.708,76655.6071,146146.1458,2373118.933,,1089,12,0,NA,
M746.285T536.79,70,lariciresinol_diglucoside_AA_isomer_13C3,[M+Ac-H]-,746.2848283,746.2826407,746.2861522,536.7858263,8.946430439,527.3663275,565.8245494,29,29,11043.38054,0,0,19858.93553,15704.87783,42406.33507,15186.666,22839.54569,51993.15,24400.74172,0,131348.0475,317646.7401,71132.63335,33764.83634,172567.3503,64363.28788,132857.7766,27759.65974,7773.737105,0,42852.99743,20508.88383,392541.3039,59069.89169,14608.26489,344738.1809,71862.76258,283299.8636,899584.6495,12571.63659,53464.07121,757522.2566,,1060,10,1,NA,
M749.295T511.23,70,lariciresinol_diglucoside_AA_isomer_13C6,[M+Ac-H]-,749.2947913,749.2608427,749.2971191,511.2276143,8.520460238,432.0863,535.6262,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18467.86024,0,0,0,0,0,0,0,97439.33604,0,0,63781.41395,0,28119.71645,163374.381,0,5787.722447,85953.65209,,NA,NA,2,NA,
M521.201T772.74,105,lariciresinol_hexoside,[M-H]-,521.2014734,521.2014598,521.2014801,772.7357601,12.87892933,754.2569639,802.527068,36,33,146095.1418,217618.9153,501627.8131,274427.8641,198448.6617,412997.6331,208296.8305,172117.2102,333027.8551,60994.70506,286967.0993,358716.5457,277245.4651,258666.7104,141335.2725,180176.1823,226205.9601,332917.8895,185827.3583,181373.973,247547.5523,281606.4257,273877.0429,210332.8105,242393.1801,168106.5476,154288.6671,314924.0643,223810.2693,220333.9905,193144.7089,66818.69489,314813.6752,,120,120,0,NA,
M524.212T749.27,105,lariciresinol_hexoside_13C3,[M-H]-,524.211755,524.2096014,524.213025,749.269025,12.48781708,700.6809,780.1129,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27442.37707,16314.19757,55944.88175,36756.65672,41796.80579,22408.64436,68904.13754,38426.03383,49436.99379,115379.9599,91867.03967,15226.15768,NA,,NA,NA,1,NA,
M527.222T773.16,105,lariciresinol_hexoside_13C6,[M-H]-,527.2216442,527.2216442,527.2216442,773.1603077,12.88600513,766.6089995,802.527068,18,18,0,0,0,0,0,5995.145143,0,0,3153.095097,0,10594.84501,1163.735396,1362.283978,5060.260801,3231.534436,2317.348152,1450.440548,5784.137706,19470.58682,0,25866.10584,18047.25212,80424.26569,72306.0508,54257.94531,20896.74942,81394.13186,15278.44429,46585.26863,140963.7223,154271.7034,17150.13407,58516.66715,,1827,120,2,NA,
